676,Western Golf Association-1,218
677,Scotia,76
678,Red Dragon,154
679,"R.-V. Germania, Leitmeritz",15
680,Hungary-1,92
681,Akatonbo,97
682,Terrible,31
683,Elisabeth V,152
684,Studenternes Roklub-2,152
685,Rififi,70
686,New York Athletic Club #1-1,218
687,Partenope,93
688,Bermudes,23
689,England,76
690,Cornwall,76
691,Kiribati,110
692,United States-7,218
693,Diablo,14
694,Plume-patte-32,71
695,Plume-Patte-5,71
696,Pierre et Jean-3,71
697,Pierre et Jean-4,71
698,Espadarte,165
699,Fruits,65
700,Belgium-2,21
701,Sidi Fekkar-36,71
702,Sidi-Fekkar-14,71
703,Souvenance,71
704,Meteor,21
705,Kurush IV,54
706,Vesania,54
707,Kurush II,54
708,Canopus,165
709,Crabe I-11,71
710,Crabe I-3,71
711,Crabe I-2,71
712,Gwendoline-22,71
713,Gwendoline-2,71
714,United States/France,218
715,Vicking,165
716,Daisy,147
717,Virginie,71
718,Acipactli,132
719,Belgium-4,21
720,Pegaso,102
721,Girl Pat,21
722,Fada,71
723,Bu III,31
724,Lerina,192
725,"Bagatelle Polo Club, Paris",71
726,Bem II,147
727,St. Margrite,147
728,Hollandia,147
729,Aphrodite,218
730,Bonzo,57
731,Socit Nautique de la Basse Seine-1,71
732,Socit Nautique de la Basse Seine-2,71
733,Univ. of Brussels,21
734,"Concordia Turnverein, St Louis",218
735,Rowing Club Castillon-3,71
736,Frip IV,71
737,Mad Dog,38
738,Hb-24,71
739,Hb-20,71
740,"South St Louis Turnverein, St Louis",81
741,Century Boat Club-1,218
742,Unique,76
743,Pan-Hellenic Athletic Club,83
744,"Phalainis ton Thorichtou ""Hydra""-2",83
745,Viking,152
746,Silja,152
747,Bermudian,23
748,Dresden,38
749,United States/Great Britain,76
750,Mignon-29,71
751,Mignon-3,71
752,Favorite-17,71
753,Favorite-1,71
754,St. Louis Amateur Athletic Association,218
755,Naiad,14
756,Pakaria,14
757,Ireland-3,76
758,Serbia-2,187
759,United States-14,218
760,Oxalis,165
761,Gitana-21,71
762,Gitana-2,71
763,Joy,147
764,Thalatta,147
765,Trintel II,147
